iter	MultiClass
0	2.234333141
1	2.023352159
2	1.82570091
3	1.665938697
4	1.551979547
5	1.446936928
6	1.364037819
7	1.279581711
8	1.201180619
9	1.124236492
10	1.070504327
11	1.007224063
12	0.9518875937
13	0.9092736724
14	0.8638221052
15	0.8314335633
16	0.7943587185
17	0.7645969261
18	0.7373571613
19	0.7131274041
20	0.6904248516
21	0.667337229
22	0.6417134699
23	0.610369946
24	0.5871385791
25	0.569384811
26	0.5555853954
27	0.5355404304
28	0.5185216005
29	0.5030975255
30	0.4879906111
31	0.4747243456
32	0.4619579047
33	0.4491397886
34	0.4384574885
35	0.4235337301
36	0.4118834691
37	0.3986856554
38	0.3887891232
39	0.379069643
40	0.3697550643
41	0.3626999254
42	0.3546294284
43	0.3464944836
44	0.339796676
45	0.3332494371
46	0.3249435217
47	0.3191679028
48	0.3131846124
49	0.307935802
50	0.3022229902
51	0.2944565929
52	0.2878927715
53	0.2809011269
54	0.2760877527
55	0.2681085847
56	0.2618019491
57	0.2574812578
58	0.2534573397
59	0.2469499187
60	0.2438168303
61	0.2398866002
62	0.2362640012
63	0.231209526
64	0.2272924447
65	0.2245376645
66	0.2215010868
67	0.2173435563
68	0.2135060431
69	0.2096206157
70	0.2063157098
71	0.2038702561
72	0.2009820361
73	0.1966829347
74	0.1939653079
75	0.1910357065
76	0.1879753941
77	0.1844052417
78	0.1810114736
79	0.1791927974
80	0.1762509705
81	0.1738327459
82	0.1713265905
83	0.1690377964
84	0.1659073081
85	0.1630406798
86	0.1614820609
87	0.1592581672
88	0.1569539286
89	0.1542247153
90	0.1517392339
91	0.1498485109
92	0.1477463011
93	0.1458491452
94	0.1440041644
95	0.1409331449
96	0.1390347926
97	0.1364560577
98	0.1338650194
99	0.1320724454
100	0.130385578
101	0.1284105459
102	0.1263844053
103	0.1240420021
104	0.1226841805
105	0.1203361639
106	0.1181301713
107	0.1157933281
108	0.1145974851
109	0.1127841493
110	0.112159726
111	0.1110323483
112	0.1100054181
113	0.108295822
114	0.1072165581
115	0.1062500018
116	0.1050052418
117	0.1037645401
118	0.1025304087
119	0.1014099133
120	0.1006194741
121	0.09924978346
122	0.09723510176
123	0.09604901937
124	0.09495021437
125	0.09431325709
126	0.09330364334
127	0.09229923832
128	0.09122531932
129	0.09011634525
130	0.0896961825
131	0.08894475557
132	0.08823407762
133	0.08732039376
134	0.08623941683
135	0.08554388635
136	0.08510013045
137	0.08454351068
138	0.08403345685
139	0.08302639427
140	0.08219217625
141	0.08127735343
142	0.08045375126
143	0.07969630009
144	0.0791372466
145	0.07821873387
146	0.0773355
147	0.07652217585
148	0.07598055597
149	0.07552680079
150	0.07496709272
151	0.07427086898
152	0.07369908565
153	0.07265307242
154	0.07203095284
155	0.07135613209
156	0.07048144176
157	0.07017203836
158	0.06971652005
159	0.06897798871
160	0.06833033784
161	0.0675741884
162	0.06662780567
163	0.06600399659
164	0.06530557724
165	0.06505449658
166	0.06451738639
167	0.06408836219
168	0.06368806494
169	0.06348570598
170	0.06294799327
171	0.06256739473
172	0.06197630281
173	0.06146290419
174	0.06103579109
175	0.06094887478
176	0.06051279449
177	0.06004272812
178	0.05978631444
179	0.05949284722
180	0.05910248641
181	0.05892542392
182	0.05859228757
183	0.0581187495
184	0.05782593838
185	0.05768980643
186	0.0575494463
187	0.05686523238
188	0.05650605578
189	0.05608714942
190	0.05574888717
191	0.05544531382
192	0.05508280011
193	0.05488570908
194	0.05472531651
195	0.0545623799
196	0.05414277211
197	0.05399831741
198	0.05352814865
199	0.05314731644
