iter	Passed	Remaining
0	4	492
1	6	321
2	9	302
3	16	392
4	19	377
5	21	336
6	22	304
7	25	298
8	29	294
9	31	285
10	33	273
11	37	273
12	40	271
13	43	265
14	46	260
15	48	252
16	49	244
17	52	237
18	55	235
19	61	244
20	66	248
21	69	247
22	72	241
23	74	236
24	76	228
25	77	220
26	79	215
27	81	208
28	82	202
29	86	202
30	89	199
31	92	197
32	95	193
33	98	190
34	101	187
35	103	183
36	106	180
37	108	177
38	110	173
39	113	169
40	117	169
41	119	165
42	120	159
43	122	155
44	123	151
45	125	147
46	127	143
47	129	139
48	131	137
49	134	134
50	136	131
51	137	127
52	139	123
53	141	120
54	143	117
55	144	113
56	146	110
57	148	107
58	150	104
59	151	101
60	153	97
61	154	94
62	157	92
63	158	89
64	160	86
65	162	83
66	164	81
67	166	78
68	168	75
69	170	72
70	171	70
71	173	67
72	175	64
73	177	62
74	179	59
75	180	57
76	182	54
77	184	52
78	186	49
79	187	46
80	189	44
81	191	41
82	193	39
83	194	37
84	196	34
85	198	32
86	199	29
87	201	27
88	203	25
89	204	22
90	206	20
91	209	18
92	211	15
93	212	13
94	214	11
95	215	8
96	217	6
97	219	4
98	221	2
99	223	0
